Number of Posts,Followers,Following,Label,follower_following_ratio
0.430521157,-0.389965512,-0.597146403,0,-0.122515244
0.60675812,0.499821326,0.409840534,0,-0.135089958
-0.165973182,1.107014918,-0.256413663,0,0.602208662
-0.409993593,-0.901688414,1.091306014,1,-0.627527513
-0.409993593,-0.336501925,-0.365934901,0,-0.233424122
-0.409993593,-0.897869586,-0.712752154,1,-0.622771093
-0.409993593,0.453995394,-0.271624946,0,0.21673708
0.267840882,-0.653464618,-0.834442419,0,-0.200582172
1.528613007,-0.622913997,-0.24120238,0,-0.459705152
-0.355766835,2.661277763,2.831476793,0,-0.136327275
-0.409993593,-0.901688414,-0.350723618,1,-0.627527513
-0.409993593,-0.871137793,-0.633653482,1,-0.595261738
-0.409993593,-0.748935309,2.98663188,1,-0.607257684
-0.409993593,-0.901688414,2.052659102,1,-0.627527513
-0.409993593,-0.901688414,-0.594104147,1,-0.627527513
0.403407778,1.618737821,0.151248722,0,0.433520079
-0.409993593,-0.901688414,0.09040359,1,-0.627527513
-0.409993593,-0.680196411,0.7627423,0,-0.564033078
-0.409993593,-0.844405999,-1.004808789,0,-0.416400696
-0.396436904,-0.030995715,-0.058666984,0,-0.190729587
0.132273987,-0.221937096,0.017389431,0,-0.308662042
-0.247313319,-0.412878477,-0.703625384,0,-0.031046704
-0.206643251,-0.710747032,-0.910498834,0,-0.196476929
-0.409993593,-0.580906893,1.432038754,1,-0.559370809
-0.111746424,1.52326713,2.98663188,0,-0.305743976
-0.409993593,-0.420516133,-0.539343528,0,-0.197330494
-0.409993593,-0.798580068,1.675419283,1,-0.607504518
0.037377161,1.592006027,0.330741862,0,0.295344722
-0.193086561,0.534190774,0.239474164,0,-0.061326571
-0.409993593,-0.607638686,-0.867907241,0,-0.062576109
-0.409993593,-0.160835854,-0.977428479,0,1.679336303
-0.409993593,0.156126839,-0.210779814,0,-0.011264226
-0.193086561,-0.073002818,-0.171230478,0,-0.164181498
-0.043962976,-0.367052546,0.275981243,0,-0.422090639
-0.328653456,0.247778702,-0.794893083,0,1.131743346
1.067685564,1.103196091,1.553729018,0,-0.220693254
1.420159491,3.123355906,2.737166838,0,-0.059174342
-0.409993593,-0.890231931,-0.277709459,1,-0.620343336
-0.342210146,-0.703109377,-0.953090426,0,-0.084142534
-0.084633045,0.278329323,0.577164647,0,-0.252990766
-0.409993593,-0.802398895,-0.928752373,0,-0.385207184
0.633871499,0.247778702,-0.505878705,0,0.347092024
-0.084633045,-0.451066754,-0.505878705,0,-0.245450751
-0.396436904,-0.126466405,-0.606273173,0,0.150279319
-0.396436904,-0.393784339,-0.42069552,0,-0.246915213
-0.409993593,-0.813855378,1.11260181,1,-0.60623535
-0.409993593,-0.703109377,-0.870949498,0,-0.241899463
-0.409993593,-0.836768344,-0.916583347,0,-0.477212437
-0.355766835,0.3165176,1.714968618,0,-0.394220813
-0.098189735,-0.141741716,0.540657568,0,-0.38112445
-0.409993593,-0.878775448,-0.898329807,1,-0.578264589
-0.409993593,-0.882594276,-0.76142826,1,-0.600795694
1.759076729,-0.13410406,-0.165145965,0,-0.200986381
0.593201431,1.267405679,-0.198610788,0,0.620048191
0.972788737,2.26411969,-0.968301709,0,8.745349452
-0.22019994,-0.584725721,-0.797935339,0,-0.138266679
-0.409993593,-0.64964579,-0.192526274,1,-0.483480229
0.660984878,3.043160526,-0.42982229,0,2.365919569
-0.396436904,-0.901688414,-0.57280835,1,-0.627527513
-0.409993593,-0.897869586,0.400713764,1,-0.626177844
-0.409993593,-0.882594276,-0.24120238,1,-0.616032831
-0.409993593,0.358524703,-0.235117867,0,0.12609735
-0.369323525,-0.092096957,-0.767512773,0,0.523750898
5.229589245,0.25159753,1.556771275,0,-0.393763604
-0.409993593,-0.867318965,-0.807062109,1,-0.573079018
-0.369323525,-0.103553439,-0.076920523,0,-0.220343006
-0.409993593,-0.737478826,-0.58193512,0,-0.469781342
3.074075612,0.339430565,0.111699386,0,-0.088714283
0.430521157,0.63729912,0.282065756,0,-0.038668579
-0.247313319,-0.145560543,-0.22294884,0,-0.181263379
0.294954261,2.237387896,2.232152242,0,-0.118167469
-0.409993593,-0.653464618,2.3051664,1,-0.588099843
-0.409993593,-0.752754136,0.391586994,1,-0.574579567
-0.179529872,-0.844405999,-0.320301052,1,-0.589771257
1.650623213,2.756748454,1.994856226,0,0.010843826
0.145830677,-0.298313648,0.41288279,0,-0.41593608
0.078047229,1.630194303,0.473727923,0,0.227161197
-0.23375663,-0.603819859,-0.92266786,0,0.08030292
-0.409993593,-0.32886427,-0.198610788,0,-0.298062098
-0.409993593,0.121757391,-0.344639105,0,0.067338993
-0.409993593,0.068293804,0.333784119,0,-0.269288336
-0.287983388,2.256482034,1.435081011,0,0.042702961
3.98237381,-0.011901576,0.047811998,0,-0.220703063
-0.409993593,-0.764210619,2.259532551,1,-0.605398713
-0.355766835,2.978240456,0.139079696,0,1.021215616
-0.247313319,0.140851529,-0.350723618,0,0.085665272
-0.016849597,-0.771848274,-0.764470517,0,-0.444331014
-0.409993593,-0.848224827,-0.910498834,0,-0.506833349
-0.23375663,-0.577088065,-0.588019633,0,-0.312350742
-0.193086561,3.257014873,-0.773597286,0,5.38097279
-0.409993593,-0.416697305,-0.867907241,0,0.304275452
0.159387366,-0.836768344,-0.469371626,0,-0.575418287
-0.098189735,0.961899469,-0.156019195,0,0.398583146
1.352376044,1.393426991,2.131757774,0,-0.243732844
0.593201431,-0.458704409,0.546742081,1,-0.484409465
1.813303487,0.26687284,0.136037439,0,-0.129786083
-0.016849597,-0.813855378,-1.096076487,0,0.207349408
-0.382880214,-0.378509029,-0.046497957,0,-0.367949798
-0.409993593,-0.855862482,-1.071738434,0,-0.321002653
-0.409993593,2.848400317,1.082179244,0,0.29392375
-0.409993593,-0.557993927,-0.788808569,0,-0.110266812
-0.071076356,-0.573269238,-0.57280835,0,-0.316990547
-0.409993593,-0.882594276,-0.545428041,1,-0.610285489
-0.409993593,-0.901688414,-1.050442638,1,-0.627527513
-0.409993593,-0.901688414,0.914855131,1,-0.627527513
-0.396436904,-0.764210619,-0.25945592,0,-0.543076786
0.037377161,-0.5541751,-1.074780691,0,1.786355759
-0.409993593,-0.783304757,0.212093854,1,-0.579910344
-0.260870009,-0.473979719,-0.536301271,0,-0.247013894
-0.274426698,0.988631262,2.767589405,0,-0.362677193
-0.287983388,-0.428153788,-0.636695739,0,-0.124466125
-0.369323525,-0.500711513,-1.108245513,0,4.20023903
-0.409993593,-0.871137793,-0.883118524,1,-0.565533721
-0.409993593,-0.832949516,-0.749259234,0,-0.534187236
-0.409993593,0.018649045,1.136939863,0,-0.406792977
-0.382880214,-0.840587172,-1.086949717,0,-0.125941378
-0.409993593,-0.431972615,-0.58193512,0,-0.176300093
0.986345427,-0.5541751,2.925786748,1,-0.580725898
-0.247313319,1.133746712,0.476770179,0,0.058293267
0.132273987,-0.084459301,-0.959174939,0,1.678593113
1.393046112,0.049199666,0.145164209,0,-0.225348232
-0.396436904,0.079750287,-0.095174063,0,-0.118194179
-0.409993593,-0.546537444,0.172544518,0,-0.480416671
-0.382880214,-0.462523236,-0.335512335,0,-0.332682504
-0.030406287,0.347068221,0.145164209,0,-0.099364361
-0.409993593,-0.901688414,0.796207123,1,-0.627527513
